cycle,encoder_error_cw,encoder_error_ccw
3425,16775032.0,16775034.0
3426,16775029.0,16775033.0
3427,16775036.0,16775036.0
3428,16775033.0,16775037.0
3429,16775038.0,16775036.0
3430,16775038.0,16775036.0
3431,16775036.0,16775036.0
3432,16775036.0,16775036.0
3433,16775036.0,16775034.0
3434,16775031.0,16775034.0
3435,16775030.0,16775032.0
3436,16775030.0,16775031.0
3437,16775030.0,16775034.0
3438,16775030.0,16775034.0
3439,16775031.0,16775034.0
3440,16775030.0,16775034.0
3441,16775030.0,16775032.0
3442,16775039.0,16775036.0
3443,16775031.0,16775032.0
3444,16775033.0,16775031.0
3445,16775030.0,16775031.0
3446,16775033.0,16775032.0
3447,16775032.0,16775031.0
3448,16775031.0,16775031.0
3449,16775030.0,16775032.0
3450,16775030.0,16775034.0
3451,16775032.0,16775034.0
3452,16775030.0,16775031.0
3453,16775030.0,16775031.0
3454,16775030.0,16775031.0
3455,16775031.0,16775033.0
3456,16775035.0,16775036.0
3457,16775038.0,16775036.0
3458,16775036.0,16775036.0
3459,16775036.0,16775036.0
3460,16775036.0,16775036.0
3461,16775044.0,16775037.0
3462,16775038.0,16775036.0
3463,16775038.0,16775035.0
3464,16775036.0,16775036.0
3465,16775036.0,16775037.0
3466,16775036.0,16775036.0
3467,16775032.0,16775033.0
3468,16775032.0,16775031.0
3469,16775032.0,16775033.0
3470,16775032.0,16775033.0
3471,16775031.0,16775034.0
3472,16775037.0,16775036.0
3473,16775031.0,16775031.0
3474,16775032.0,16775033.0
3475,16775031.0,16775034.0
3476,16775032.0,16775032.0
3477,16775033.0,16775032.0
3478,16775030.0,16775032.0
3479,16775030.0,16775031.0
3480,16775030.0,16775031.0
3481,16775032.0,16775032.0
3482,16775030.0,16775031.0
3483,16775032.0,16775031.0
3484,16775029.0,16775031.0
3485,16775031.0,16775032.0
3486,16775030.0,16775031.0
3487,16775030.0,16775032.0
3488,16775028.0,16775025.0
3489,16775026.0,16775026.0
3490,16775022.0,16775019.0
3491,16775020.0,16775021.0
3492,16775023.0,16775027.0
3493,16775026.0,16775028.0
3494,16775033.0,16775032.0
3495,16775030.0,16775032.0
3496,16775029.0,16775029.0
3497,16775021.0,16775026.0
3498,16775030.0,16775031.0
3499,16775027.0,16775028.0
3500,16775029.0,16775034.0
3501,16775029.0,16775026.0
3502,16775022.0,16775026.0
3503,16775024.0,16775025.0
3504,16775029.0,16775028.0
3505,16775030.0,16775035.0
3506,16775036.0,16775037.0
3507,16775046.0,16775037.0
3508,16775035.0,16775036.0
3509,16775041.0,16775037.0
3510,16775040.0,16775036.0
