step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle,direction,theta,alpha,angle_error
52,2025-04-16 14:46:32,619,17107,11327,9285,15089,9,CW,291.888,292.2442870689235,0.3562870689235069
53,2025-04-16 14:46:32,628,17268,11714,9120,14700,9,CW,297.53999999999996,297.92723882459967,0.3872388245997058
54,2025-04-16 14:46:32,623,17394,12116,8991,14301,9,CW,303.14699999999993,303.5740756091419,0.42707560914197984
55,2025-04-16 14:46:33,620,17475,12524,8909,13893,9,CW,308.7269999999999,309.1338753892152,0.40687538921525856
56,2025-04-16 14:46:33,625,17511,12940,8868,13477,9,CW,314.3519999999999,314.69087081928865,0.3388708192887293
57,2025-04-16 14:46:33,624,17507,13353,8869,13061,9,CW,319.9679999999999,320.18175790629806,0.21375790629815583
58,2025-04-16 14:46:34,635,17457,13775,8914,12640,9,CW,325.6829999999999,325.78017775179546,0.0971777517955843
59,2025-04-16 14:46:34,630,17367,14191,9006,12225,9,CW,331.3529999999999,331.3797258951704,0.02672589517050028
60,2025-04-16 14:46:34,638,17230,14599,9137,11812,9,CW,337.0949999999999,337.05536252204433,-0.039637477955579925
61,2025-04-16 14:46:34,623,17055,14984,9308,11426,9,CW,342.7019999999999,342.6048284235115,-0.09717157648839247
62,2025-04-16 14:46:35,622,16845,15356,9515,11052,9,CW,348.2999999999999,348.22064797676825,-0.07935202323164958
63,2025-04-16 14:46:35,626,16602,15710,9757,10695,9,CW,353.9339999999999,353.87824676096284,-0.055753239037073854
64,2025-04-16 14:46:36,629,16320,16043,10037,10362,9,CW,359.5949999999999,359.6106840292728,0.015684029272904354
0,2025-04-16 14:46:39,-20,16311,16051,10047,10349,9,CCW,359.4149999999999,359.7970644082836,0.38206440828366794
1,2025-04-16 14:46:39,-598,16583,15731,9776,10670,9,CCW,354.0329999999999,354.2698747825634,0.23687478256351824
2,2025-04-16 14:46:39,-634,16831,15375,9526,11028,9,CCW,348.3269999999999,348.5475094279065,0.2205094279066202
3,2025-04-16 14:46:40,-624,17040,15004,9319,11401,9,CCW,342.7109999999999,342.9449810221924,0.23398102219249495
4,2025-04-16 14:46:40,-617,17217,14623,9148,11785,9,CCW,337.1579999999999,337.42363190650974,0.2656319065098387
5,2025-04-16 14:46:40,-634,17354,14214,9010,12196,9,CCW,331.4519999999999,331.7383610303158,0.2863610303159021
6,2025-04-16 14:46:40,-630,17449,13800,8918,12610,9,CCW,325.78199999999987,326.14997620250523,0.36797620250536056
7,2025-04-16 14:46:41,-623,17503,13377,8867,13033,9,CCW,320.17499999999984,320.52565445508424,0.3506544550843955
8,2025-04-16 14:46:41,-630,17508,12964,8865,13446,9,CCW,314.5049999999998,315.055127247354,0.550127247354169
9,2025-04-16 14:46:41,-637,17473,12540,8906,13871,9,CCW,308.7719999999998,309.38495335755897,0.6129533575591495
